,ftm-per-100-possessions2,ftm-per-100-possessions,ST/Pos,ST/Pos2,Margin2,Margin,Last 102,TS%M2,Last 10,FG%M2,TS%M,BL%2,FG%M,BL%,CGWin%2,CGWin%,Ind,SOS2,SOS,TOM2,TOM,Team1Win
50,18.094,25.384,0.084,0.096,0.6,13.0,10.5,0.003,25.7,-0.001,0.182,0.059,0.07400000000000001,0.064,0.5710000000000001,0.7140000000000001,50,46,78,-0.028,-0.003,1
51,21.266,23.329,0.084,0.104,11.4,4.8,32.6,0.075,22.0,0.034,0.124,0.098,0.04,0.064,0.4,0.222,51,56,1,0.066,0.002,0
52,23.003,19.319000000000006,0.114,0.114,14.8,5.0,33.9,0.131,10.2,0.03,0.018000000000000002,0.067,-0.013,0.032,0.4,0.7140000000000001,52,12,275,0.066,0.016,0
53,22.918000000000006,21.232,0.068,0.112,14.4,9.2,29.3,0.111,24.0,0.042,0.14,0.069,0.071,0.073,0.857,0.75,53,18,43,0.043,-0.016,0
54,18.791,20.93,0.108,0.101,2.0,11.5,8.0,0.008,17.7,0.006999999999999999,0.097,0.06,0.056,0.07,0.8,0.5,54,125,199,0.008,0.046,1
55,25.384,21.584,0.125,0.084,13.0,7.5,25.7,0.182,14.9,0.07400000000000001,0.01,0.064,-0.011,0.08800000000000001,0.7140000000000001,0.545,55,78,70,-0.003,0.07,0
56,21.266,23.003,0.114,0.104,11.4,14.8,32.6,0.075,33.9,0.034,0.131,0.098,0.03,0.067,0.4,0.4,56,56,12,0.066,0.066,0
57,20.93,22.918000000000006,0.112,0.108,11.5,14.4,17.7,0.097,29.3,0.056,0.111,0.07,0.042,0.069,0.5,0.857,57,199,18,0.046,0.043,1
58,21.266,25.384,0.084,0.104,11.4,13.0,32.6,0.075,25.7,0.034,0.182,0.098,0.07400000000000001,0.064,0.4,0.7140000000000001,58,56,78,0.066,-0.003,1
59,22.918000000000006,25.384,0.084,0.112,14.4,13.0,29.3,0.111,25.7,0.042,0.182,0.069,0.07400000000000001,0.064,0.857,0.7140000000000001,59,18,78,0.043,-0.003,0
60,24.294,21.079,0.13,0.106,16.3,19.8,28.7,0.127,31.8,0.06,0.217,0.071,0.123,0.11,0.833,0.6,60,24,44,0.02,0.041,1
61,21.155,22.918000000000006,0.112,0.121,19.1,14.4,26.7,0.163,29.3,0.083,0.111,0.108,0.042,0.069,0.667,0.857,61,93,18,0.054000000000000006,0.043,0
62,21.079,21.155,0.121,0.13,19.8,19.1,31.8,0.217,26.7,0.123,0.163,0.11,0.083,0.108,0.6,0.667,62,44,93,0.041,0.054000000000000006,0
63,17.042,24.224,0.093,0.13,12.3,0.7,25.7,0.128,1.2,0.057,0.006999999999999999,0.11,0.012,0.07200000000000001,0.8,0.364,63,7,179,0.04,-0.044,0
64,19.698,20.54,0.093,0.12,7.6,5.4,14.9,0.055,18.3,0.036000000000000004,0.14400000000000002,0.077,0.07400000000000001,0.097,0.667,0.727,64,110,37,0.046,-0.003,0
65,23.194000000000006,22.521,0.09,0.075,7.5,3.8,17.7,0.203,16.9,0.077,0.075,0.09,0.039,0.053,0.5710000000000001,0.375,65,51,23,-0.045,-0.013,1
66,21.331,24.142,0.11,0.13,5.1,11.1,15.4,0.024,21.2,0.016,0.146,0.064,0.094,0.087,0.6,0.8,66,89,16,0.049,0.001,0
67,21.866,20.641,0.094,0.1,10.8,6.0,25.3,0.036000000000000004,17.1,0.011,0.022,0.08900000000000001,0.032,0.067,0.429,0.917,67,1,97,0.054000000000000006,0.014,1
68,22.809,22.832,0.099,0.098,11.3,10.1,23.2,0.166,15.9,0.092,0.105,0.078,0.032,0.055,0.333,0.5,68,13,138,-0.019,0.017,0
69,22.348000000000006,22.887,0.08800000000000001,0.094,4.9,4.5,18.7,0.08199999999999999,14.6,0.068,0.065,0.085,0.023,0.073,0.5379999999999999,0.7,69,11,48,-0.016,-0.009000000000000001,0
70,19.935,23.578000000000007,0.094,0.125,5.7,9.0,2.2,0.094,20.6,0.051,0.05,0.064,0.041,0.054000000000000006,0.7140000000000001,0.75,70,275,15,0.009000000000000001,-0.005,1
71,19.698,17.042,0.13,0.12,7.6,12.3,14.9,0.055,25.7,0.036000000000000004,0.128,0.077,0.057,0.11,0.667,0.8,71,110,7,0.046,0.04,1
72,21.331,22.521,0.09,0.13,5.1,3.8,15.4,0.024,16.9,0.016,0.075,0.064,0.039,0.053,0.6,0.375,72,89,23,0.049,-0.013,1
73,20.641,22.809,0.098,0.094,6.0,11.3,17.1,0.022,23.2,0.032,0.166,0.067,0.092,0.078,0.917,0.333,73,97,13,0.014,-0.019,1
74,23.578000000000007,22.348000000000006,0.094,0.094,9.0,4.9,20.6,0.05,18.7,0.041,0.08199999999999999,0.054000000000000006,0.068,0.085,0.75,0.5379999999999999,74,15,11,-0.005,-0.016,0
75,22.521,17.042,0.13,0.09,3.8,12.3,16.9,0.075,25.7,0.039,0.128,0.053,0.057,0.11,0.375,0.8,75,23,7,-0.013,0.04,1
76,22.809,23.578000000000007,0.094,0.098,11.3,9.0,23.2,0.166,20.6,0.092,0.05,0.078,0.041,0.054000000000000006,0.333,0.75,76,13,15,-0.019,-0.005,1
77,23.578000000000007,17.042,0.13,0.094,9.0,12.3,20.6,0.05,25.7,0.041,0.128,0.054000000000000006,0.057,0.11,0.75,0.8,77,15,7,-0.005,0.04,0
78,25.651,23.238000000000003,0.081,0.08199999999999999,13.4,-1.5,27.2,0.189,2.0,0.093,-0.005,0.123,-0.002,0.036000000000000004,1.0,0.444,78,3,220,-0.015,-0.021,0
79,20.682,25.473000000000006,0.073,0.1,12.5,5.1,25.6,0.172,13.1,0.084,0.061,0.065,0.017,0.069,0.4,0.5,79,62,49,0.033,-0.01,1
80,19.256,24.703000000000007,0.066,0.105,10.4,3.7,23.7,0.141,4.7,0.063,0.086,0.087,0.033,0.045,0.429,0.75,80,34,99,0.048,-0.013,0
81,22.609,25.28,0.098,0.095,5.1,8.8,13.7,0.128,20.0,0.035,0.061,0.115,0.033,0.046,0.333,0.7140000000000001,81,78,17,-0.008,-0.001,1
82,23.114,26.973000000000006,0.114,0.078,10.5,9.4,20.3,0.163,17.1,0.076,0.051,0.047,0.006999999999999999,0.052000000000000005,0.857,0.5,82,127,28,-0.01,0.05,1
83,19.299,20.618,0.14,0.1,8.2,13.6,8.5,0.145,27.9,0.055,0.101,0.067,0.052000000000000005,0.069,0.5,0.6,83,238,24,0.006,0.087,1
84,21.147,18.581,0.108,0.07200000000000001,6.7,3.0,18.8,0.108,19.3,0.045,0.003,0.035,0.005,0.07200000000000001,0.429,0.5,84,26,33,0.006999999999999999,0.043,1
85,18.746,23.09,0.127,0.12,3.6,17.2,9.2,0.031,22.8,0.037000000000000005,0.165,0.048,0.081,0.113,0.5710000000000001,0.667,85,153,31,-0.005,0.042,1
86,25.473000000000006,25.651,0.08199999999999999,0.073,5.1,13.4,13.1,0.061,27.2,0.017,0.189,0.069,0.093,0.123,0.5,1.0,86,49,3,-0.01,-0.015,1
87,19.256,25.28,0.098,0.105,10.4,8.8,23.7,0.141,20.0,0.063,0.061,0.087,0.033,0.046,0.429,0.7140000000000001,87,34,17,0.048,-0.001,0
88,26.973000000000006,20.618,0.14,0.114,9.4,13.6,17.1,0.051,27.9,0.006999999999999999,0.101,0.052000000000000005,0.052000000000000005,0.069,0.5,0.6,88,28,24,0.05,0.087,1
89,23.09,18.581,0.108,0.127,17.2,3.0,22.8,0.165,19.3,0.081,0.003,0.113,0.005,0.07200000000000001,0.667,0.5,89,31,33,0.042,0.043,0
