,Year,Team,effective-field-goal-pct,ftm-per-100-possessions,offensive-rebounding-pct,defensive-rebounding-pct,assists-per-fgm,effective-possession-ratio,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
33,2008,mt st marys,0.50,21.187,0.28,0.68,0.532,0.923,0.505,0.562,0.375,278,3.9,2.6,0.987,99.3,0.951,100.6,0.036,-1.3,69.1,66.5,2.6,1.075,1.014,0.061,0.446,0.415,0.031,0.367,0.696,0.489,0.103,0.203,0.213,0.01,0.067,0.284
34,2008,n carolina,0.53,24.294,0.41,0.73,0.519,0.993,0.672,0.939,0.833,24,28.7,16.3,1.131,122.1,0.923,91.9,0.208,30.2,88.8,72.5,16.3,1.135,1.008,0.127,0.482,0.422,0.06,0.377,0.759,0.573,0.106,0.184,0.204,0.02,0.071,0.214
35,2008,notre dame,0.52,21.109,0.34,0.71,0.665,0.979,0.599,0.774,0.4,68,22.6,10.1,1.1,114.6,0.962,95.6,0.138,19,80.6,70.5,10.1,1.126,0.979,0.147,0.459,0.412,0.047,0.41,0.735,0.537,0.087,0.176,0.169,-0.007,0.058,0.205
36,2008,oklahoma,0.50,21.225,0.33,0.73,0.525,0.959,0.594,0.667,0.75,15,21.9,5,1.02,109.5,0.945,95.1,0.075,14.4,68.4,63.4,5,1.067,1.004,0.063,0.442,0.406,0.036,0.348,0.681,0.521,0.098,0.191,0.192,0.001,0.071,0.252
37,2008,oral roberts,0.50,21.814,0.32,0.71,0.561,0.962,0.572,0.742,0.5,128,15.5,7.4,1.024,104.7,0.914,94.5,0.11,10.2,68.9,61.5,7.4,1.069,0.977,0.092,0.44,0.399,0.041,0.367,0.667,0.517,0.093,0.188,0.203,0.015,0.07,0.249
38,2008,oregon,0.56,20.468,0.29,0.70,0.554,0.943,0.57,0.581,0.5,4,21.6,4.4,1.107,118.8,1.044,103.1,0.063,15.7,76.8,72.4,4.4,1.175,1.067,0.108,0.485,0.443,0.042,0.401,0.689,0.514,0.066,0.181,0.159,-0.022,0.043,0.26
39,2008,pittsburgh,0.51,20.585,0.38,0.69,0.573,1.004,0.616,0.735,0.625,36,25.9,8,1.078,116.5,0.96,96.6,0.118,19.9,73.3,65.3,8,1.076,1.019,0.057,0.459,0.423,0.036,0.343,0.656,0.526,0.096,0.178,0.201,0.023,0.059,0.238
40,2008,portland st,0.55,19.72,0.33,0.71,0.611,0.933,0.543,0.7,0.667,218,9.4,5.8,1.067,108.6,0.984,103.2,0.083,5.4,74.1,68.3,5.8,1.15,1.083,0.067,0.469,0.447,0.022,0.401,0.671,0.514,0.098,0.208,0.218,0.01,0.062,0.258
41,2008,purdue,0.49,21.584,0.31,0.72,0.56,0.96,0.578,0.75,0.545,70,14.9,7.5,1.011,110.5,0.9,92.2,0.111,18.3,68.7,61.2,7.5,1.057,1.047,0.01,0.423,0.434,-0.011,0.37,0.706,0.5,0.125,0.186,0.256,0.07,0.088,0.288
42,2008,st josephs,0.55,22.799,0.31,0.68,0.584,0.942,0.578,0.636,0.333,75,13.5,6.1,1.091,115.1,1.001,100.8,0.09,14.3,73.3,67.3,6,1.161,1.064,0.097,0.477,0.434,0.043,0.385,0.726,0.499,0.107,0.186,0.206,0.02,0.085,0.259
43,2008,san diego,0.49,18.791,0.30,0.71,0.549,0.922,0.543,0.606,0.8,125,8,2,0.965,101.6,0.935,97,0.03,4.6,65,63,2,1.046,1.038,0.008,0.446,0.439,0.007,0.339,0.674,0.512,0.101,0.215,0.223,0.008,0.06,0.256
44,2008,siena,0.51,21.078,0.29,0.64,0.527,0.981,0.557,0.688,0.714,202,10.6,5.8,1.064,108.6,0.984,100.7,0.08,7.9,76.8,71.1,5.7,1.078,1.066,0.012,0.451,0.451,0,0.383,0.683,0.469,0.131,0.151,0.237,0.086,0.06,0.214
45,2008,s alabama,0.54,25.357,0.37,0.72,0.608,0.962,0.587,0.8,0.5,230,15.2,10.1,1.103,112.6,0.955,100.8,0.148,11.8,75.9,65.8,10.1,1.155,1.014,0.141,0.478,0.418,0.06,0.37,0.711,0.546,0.089,0.198,0.197,-0.001,0.053,0.251
46,2008,st marys,0.53,21.204,0.35,0.70,0.549,0.972,0.587,0.8,1,158,19.7,12.4,1.079,109.2,0.902,94.6,0.177,14.6,75.8,63.4,12.4,1.109,0.962,0.147,0.459,0.406,0.053,0.36,0.663,0.524,0.102,0.189,0.205,0.016,0.088,0.243
47,2008,stanford,0.50,22.975,0.39,0.74,0.583,0.998,0.62,0.788,0.667,19,24.5,10.1,1.063,113.6,0.911,90.9,0.152,22.7,70.7,60.6,10.1,1.071,0.951,0.12,0.449,0.394,0.055,0.36,0.696,0.557,0.066,0.181,0.174,-0.007,0.094,0.258
48,2008,temple,0.54,20.662,0.26,0.69,0.595,0.927,0.575,0.636,0.571,72,13,4,1.069,112.8,1.009,100.4,0.06,12.4,72.6,68.6,4,1.157,1.051,0.106,0.472,0.423,0.049,0.372,0.741,0.492,0.092,0.183,0.187,0.004,0.078,0.263
49,2008,tennessee,0.52,21.113,0.36,0.67,0.606,0.995,0.676,0.875,0.833,30,26.6,11.5,1.112,116.2,0.956,94,0.156,22.2,82.4,70.9,11.5,1.104,1.053,0.051,0.457,0.437,0.02,0.364,0.654,0.508,0.124,0.172,0.24,0.068,0.058,0.28
50,2008,texas,0.52,19.506,0.35,0.68,0.483,1.033,0.655,0.844,0.778,25,26.4,10.6,1.114,120.6,0.957,95.5,0.157,25.1,74.9,64.3,10.6,1.085,0.972,0.113,0.45,0.393,0.057,0.375,0.686,0.52,0.091,0.14,0.18,0.04,0.088,0.244
51,2008,texas a&m,0.52,21.232,0.34,0.74,0.543,0.962,0.582,0.697,0.75,43,24,9.2,1.048,112.3,0.913,92.3,0.135,20,71.1,61.9,9.2,1.089,0.949,0.14,0.465,0.394,0.071,0.356,0.638,0.547,0.068,0.184,0.168,-0.016,0.073,0.25
52,2008,ucla,0.52,22.918,0.39,0.75,0.544,0.986,0.652,0.909,0.857,18,29.3,14.4,1.108,118,0.893,88.1,0.215,29.9,74,59.6,14.4,1.123,1.012,0.111,0.475,0.433,0.042,0.338,0.736,0.565,0.112,0.178,0.221,0.043,0.069,0.215
53,2008,maryland bc,0.51,20.959,0.31,0.67,0.571,1,0.547,0.742,0.643,269,11.1,5.4,1.105,113.2,1.026,109.3,0.079,3.9,74.9,69.5,5.4,1.104,1.064,0.04,0.454,0.437,0.017,0.386,0.731,0.492,0.087,0.141,0.183,0.042,0.06,0.24
54,2008,unlv,0.49,20.847,0.28,0.69,0.603,0.977,0.602,0.781,0.6,106,16.2,7.3,1.033,110.2,0.924,96.5,0.109,13.7,69.2,61.9,7.3,1.052,0.989,0.063,0.42,0.406,0.014,0.335,0.745,0.487,0.114,0.154,0.216,0.062,0.052,0.255
55,2008,usc,0.53,20.189,0.29,0.66,0.499,0.904,0.591,0.656,0.5,3,20.8,5.9,1.015,110.5,0.929,91.9,0.086,18.6,69.1,63.2,5.9,1.127,0.954,0.173,0.481,0.391,0.09,0.384,0.685,0.504,0.084,0.214,0.191,-0.023,0.075,0.231
56,2008,tx-arlington,0.52,20.675,0.31,0.71,0.523,0.894,0.51,0.593,0.375,287,14.1,2.5,0.984,101.3,0.949,103.6,0.035,-2.3,72.1,69.6,2.5,1.111,1.011,0.1,0.471,0.404,0.067,0.349,0.671,0.525,0.085,0.239,0.199,-0.04,0.042,0.276
57,2008,vanderbilt,0.54,22.171,0.29,0.68,0.653,0.929,0.625,0.788,0.75,65,19.7,6.2,1.079,112.3,0.996,99.6,0.083,12.7,80.6,74.4,6.2,1.16,1.047,0.113,0.467,0.436,0.031,0.404,0.736,0.495,0.08,0.192,0.197,0.005,0.058,0.244
58,2008,villanova,0.49,22.893,0.34,0.71,0.537,0.957,0.573,0.625,0.571,39,16.1,3.5,1.029,109.2,0.979,95,0.05,14.2,72.8,69.3,3.5,1.063,1.1,-0.037,0.429,0.438,-0.009,0.342,0.723,0.519,0.114,0.197,0.231,0.034,0.056,0.294
59,2008,wash state,0.54,22.403,0.26,0.72,0.598,0.945,0.604,0.75,0.75,29,23.4,10,1.094,115.1,0.931,90.8,0.163,24.3,67.1,57.1,10,1.159,1.022,0.137,0.478,0.422,0.056,0.385,0.733,0.502,0.105,0.166,0.213,0.047,0.059,0.243
60,2008,w virginia,0.51,21.266,0.33,0.72,0.582,0.992,0.593,0.697,0.4,56,32.6,11.4,1.082,114.6,0.917,93.3,0.165,21.3,74.7,63.3,11.4,1.092,1.017,0.075,0.454,0.42,0.034,0.358,0.679,0.512,0.104,0.157,0.223,0.066,0.098,0.277
