Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
S Dakota St,0.594,0.774,0.75,200,4.9,7,1.08,110.3,0.98,100.7,0.1,9.6,75.8,68.8,7,1.114,1.044,0.07,0.447,0.424,0.023,0.362,0.742,0.538,0.066,0.166,0.167,0.001,0.038,0.239
Southern,0.485,0.6,0.75,348,-7.4,1.9,1.006,99.4,0.979,105.1,0.027,-5.7,71.8,69.9,1.9,1.049,1.033,0.016,0.44,0.425,0.015,0.346,0.67,0.485,0.103,0.158,0.191,0.033,0.059,0.272
Ste F Austin,0.563,0.815,0.667,339,19.3,15,1.127,111.1,0.914,95.5,0.213,15.6,79.4,64.4,15,1.177,1.063,0.114,0.488,0.446,0.042,0.379,0.744,0.519,0.117,0.179,0.253,0.074,0.067,0.303
Stony Brook,0.568,0.793,0.667,280,1.5,10.4,1.089,106.1,0.939,98,0.15,8.1,75.3,64.9,10.4,1.11,1.004,0.106,0.477,0.411,0.066,0.376,0.667,0.548,0.085,0.17,0.179,0.009,0.079,0.285
Syracuse,0.562,0.594,0.429,21,11.1,4.5,1.038,111.6,0.971,93,0.067,18.6,70.2,65.7,4.5,1.072,1.006,0.066,0.427,0.414,0.013,0.361,0.683,0.489,0.12,0.178,0.199,0.021,0.07,0.228
Temple,0.575,0.677,0.692,66,6.4,1.7,1.004,105.9,0.978,97,0.026,8.9,68.9,67.1,1.8,1.001,1.002,-0.001,0.407,0.414,-0.007,0.344,0.69,0.49,0.078,0.132,0.161,0.029,0.053,0.259
Texas,0.599,0.625,0.667,1,11.1,3.3,1.038,111.9,0.99,95.7,0.048,16.2,71.3,68.1,3.2,1.051,1.027,0.024,0.432,0.419,0.013,0.339,0.665,0.49,0.075,0.151,0.181,0.03,0.078,0.254
Texas A&M,0.612,0.781,0.6,40,13.6,10.2,1.08,112.7,0.936,91.4,0.144,21.3,76,65.9,10.1,1.092,1.01,0.082,0.451,0.41,0.041,0.353,0.675,0.524,0.101,0.166,0.206,0.04,0.065,0.24
Texas Tech,0.589,0.613,0.667,8,12.3,2.5,1.047,112,1.01,98.3,0.037,13.7,72.4,69.8,2.6,1.096,1.054,0.042,0.447,0.427,0.02,0.345,0.746,0.503,0.085,0.172,0.181,0.009,0.073,0.259
Tulsa,0.571,0.645,0.375,74,9.8,4.3,1.041,110,0.981,98.5,0.06,11.5,74,69.7,4.3,1.075,1.053,0.022,0.444,0.416,0.028,0.329,0.679,0.487,0.096,0.151,0.201,0.05,0.047,0.259
