First,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Loser,Tennessee,0.6292,0.781,0.667,8,13.4,7.8,1.065,114.8,0.953,92.7,0.112,22.1,74.2,66.4,7.8,1.1,1.022,0.078,0.439,0.41,0.029,0.384,0.756,0.513,0.09,0.175,0.2,0.025,0.082,0.281
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Nevada,0.6124,0.794,0.429,78,9.9,10.2,1.14,119.9,1,101.7,0.14,18.2,83.1,72.9,10.2,1.168,1.048,0.12,0.468,0.43,0.038,0.398,0.747,0.499,0.086,0.136,0.178,0.042,0.067,0.237
Loser,Cincinnati,0.6315,0.879,0.6,44,19.2,17.3,1.09,113.2,0.837,86.2,0.253,27,74.5,57.1,17.4,1.093,0.924,0.169,0.453,0.37,0.083,0.357,0.687,0.553,0.107,0.168,0.217,0.049,0.101,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Kansas State,0.569,0.667,0.778,29,12.9,4.5,1.061,112.2,0.995,97.4,0.066,14.8,72.4,67.9,4.5,1.138,1.074,0.064,0.472,0.429,0.043,0.344,0.742,0.476,0.114,0.168,0.21,0.042,0.056,0.27
Loser,Kentucky,0.6153,0.697,0.667,13,19.6,6.4,1.074,116.4,0.983,96,0.091,20.4,76.7,70.3,6.4,1.107,1.006,0.101,0.47,0.406,0.064,0.361,0.697,0.533,0.079,0.182,0.167,-0.015,0.081,0.264
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
