Result,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,Year
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,wash state,0.604,0.75,0.75,29,23.4,10,1.094,115.1,0.931,90.8,0.163,24.3,67.1,57.1,10,1.159,1.022,0.137,0.478,0.422,0.056,0.385,0.733,0.502,0.105,0.166,0.213,0.047,0.059,0.243,2008
Loser,notre dame,0.599,0.774,0.4,68,22.6,10.1,1.1,114.6,0.962,95.6,0.138,19,80.6,70.5,10.1,1.126,0.979,0.147,0.459,0.412,0.047,0.41,0.735,0.537,0.087,0.176,0.169,-0.007,0.058,0.205,2008
,,x,,x,x,x,,,x,x,x,x,x,,x,,x,,,x,,x,,,,x,x,x,x,x,,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,louisville,0.622,0.75,0.444,33,18.9,10.6,1.048,113.1,0.894,87.7,0.154,25.4,71.9,61.3,10.6,1.09,0.952,0.138,0.453,0.383,0.07,0.342,0.655,0.52,0.118,0.193,0.206,0.013,0.088,0.265,2008
Loser,oklahoma,0.594,0.667,0.75,15,21.9,5,1.02,109.5,0.945,95.1,0.075,14.4,68.4,63.4,5,1.067,1.004,0.063,0.442,0.406,0.036,0.348,0.681,0.521,0.098,0.191,0.192,0.001,0.071,0.252,2008
,,x,x,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,,x,x,x,,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,tennessee,0.676,0.875,0.833,30,26.6,11.5,1.112,116.2,0.956,94,0.156,22.2,82.4,70.9,11.5,1.104,1.053,0.051,0.457,0.437,0.02,0.364,0.654,0.508,0.124,0.172,0.24,0.068,0.058,0.28,2008
Loser,butler,0.612,0.906,0.75,105,23.1,10.6,1.109,116.2,0.937,96.2,0.172,20,68.3,57.8,10.5,1.153,1.019,0.134,0.45,0.429,0.021,0.376,0.737,0.491,0.102,0.163,0.222,0.059,0.051,0.275,2008
,,x,,x,x,x,x,x,,,x,,x,x,,x,,,,x,,,,,x,x,,x,x,x,,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
